Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,GELADEIRA 5 (ESTOQUE 4ºC),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃODO PRODUTO,OBSERVAÇÃO 
ESTOQUE CONFORTAVEL,,Fenol equilibrado (Tris-HCl) pH alcalino para RNA,pht,,ENTRADA,,,1,Geladeira 3 - Prateleira 1,False,,
ESTOQUE CONFORTAVEL,,Fenol,Amresco,,ENTRADA,,,1,Geladeira 3 - Prateleira 1,False,,
ESTOQUE CONFORTAVEL,F-5415,Ficol (50mL),Sigma,,ENTRADA,,20 frascos pequenos,,Geladeira 12 de cultivo - Prateleira 2,True,2025-04-04 00:00:00,
ESTOQUE CONFORTAVEL,K019,Fosfatase alcalina kit,Bioclin,,ENTRADA,,1,,Geladeira 1 - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,K020-1,Fósforo,Bioclin,,ENTRADA,,1,,Geladeira 1 - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,Sigma,G 418 dissulfate salt- cultura celular ,A1720-5G,,ENTRADA,,,1,Geladeira 1 - Prateleira 1 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma life science,G418 dissulfate salt,A1720-1G,,ENTRADA,,,1,Geladeira 1 - Prateleira 1 (Porta),False,,
ESTOQUE CONFORTAVEL,G-1264,Gentamicina,Sigma,,ENTRADA,,,1,Geladeira 1(5) - Prateleira 1 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,G-6641,Glicose oxidase,Sigma,,ENTRADA,,1,,Geladeira de cultivo - Prateleira 2 - Porta,False,,
ESTOQUE CONFORTAVEL,11645,Glicose-6-fosfato desidrogenase,Merck,1 mL,ENTRADA,,1,,Geladeira de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,120M6108,Glucose (HK) kit ,120M6108,,ENTRADA,,,1,Geladeira 12 de cultivo - Prateleira 4,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,41M6196,Glucose (HK) kit ,41M6196,,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 4,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,H-6279,Heparina,Sigma,,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,H-5254,Hesperidina,Sigma,,ENTRADA,,0,1,Geladeira 12 de cultivo - Prateleira 1 - Porta,True,2025-04-03 00:00:00,
,,5-(HYDROYMETHYL)FURRAL,SIGMA,1G,ENTRADA,,1,,GELADEIRA 5  PRATELEIRA 1,True,2025-03-10 00:00:00,
ESTOQUE CONFORTAVEL,Cas 9085-81-8,Inibidor de Tripsina ,™ Media,25 G,ENTRADA,,5,,Geladeira de cultivo - Prateleira 4 ,False,,
ESTOQUE CONFORTAVEL,T-9777,Inibidor de Tripsina e Quimiotripsina,Sigma,,ENTRADA,,0,1,Geladeira 12 de cultivo - Compartimento 1,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,I4517,Interleucina II,Sigma,,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 3 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,I-6125,Iodoacetamida,Sigma,,ENTRADA,,0,1,Geladeira de cultivo - Compartimento 1,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,Sigma,Iodocetamide,1149-25G,,ENTRADA,,0,1,Geladeira 1 - Prateleira 2 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,,Kit ELISA Human OC/BGP (Osteocalcin) Elisa Kit ,Elabscience,,ENTRADA,,2 caixas,,Geladeira de cultivo - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,,kIT ETANOL MEGAENZYME,Sem marca e embalagem,,ENTRADA,,,,Geladeira 1 - Prateleira 4,False,,
